method,output,content,style,content_raw,content_norm,content_log,style_raw,style_norm,style_log
adain_alpha_0.8,temp.jpg,img_0.jpg,style_0.png,7.807860,0.00047,33.3,8543182438.075217,0.00243,26.1
adain_alpha_0.8,temp.jpg,img_0.jpg,style_1.png,6.243279,0.00053,32.8,11900662698.611685,0.00210,26.8
adain_alpha_0.8,temp.jpg,img_0.jpg,style_2.png,9.458964,0.00035,34.5,18013022397.088055,0.00647,21.9
adain_alpha_0.8,temp.jpg,img_0.jpg,style_3.png,7.578175,0.00062,32.1,8015367229.213723,0.00070,31.5
adain_alpha_0.8,temp.jpg,img_0.jpg,style_4.png,6.233447,0.00106,29.7,5069439682.458952,0.00069,31.6
adain_alpha_0.8,temp.jpg,img_0.jpg,style_5.png,8.609097,0.00135,28.7,15591040104.590914,0.00312,25.1
adain_alpha_0.8,temp.jpg,img_0.jpg,style_6.png,8.332903,0.00059,32.3,16797274352.128498,0.00338,24.7
adain_alpha_0.8,temp.jpg,img_0.jpg,style_7.png,9.224178,0.00089,30.5,9746679573.792114,0.00135,28.7
adain_alpha_0.8,temp.jpg,img_0.jpg,style_8.png,4.773779,0.00068,31.7,12675733821.840359,0.00563,22.5
adain_alpha_0.8,temp.jpg,img_0.jpg,style_9.png,6.722253,0.00117,29.3,29732337436.248280,0.00302,25.2
adain_alpha_0.8,temp.jpg,img_1.jpg,style_0.png,4.525801,0.00046,33.3,12505335876.739315,0.00181,27.4
adain_alpha_0.8,temp.jpg,img_1.jpg,style_1.png,8.739986,0.00117,29.3,25016231490.589363,0.00946,20.2
adain_alpha_0.8,temp.jpg,img_1.jpg,style_2.png,10.434470,0.00225,26.5,10889788522.619801,0.00762,21.2
adain_alpha_0.8,temp.jpg,img_1.jpg,style_3.png,6.685999,0.00069,31.6,23025342387.678875,0.00302,25.2
adain_alpha_0.8,temp.jpg,img_1.jpg,style_4.png,5.547011,0.00045,33.5,16504348462.997068,0.00542,22.7
adain_alpha_0.8,temp.jpg,img_1.jpg,style_5.png,7.981436,0.00107,29.7,1793067599.646475,0.00063,32.0
adain_alpha_0.8,temp.jpg,img_1.jpg,style_6.png,5.457225,0.00078,31.1,19869081213.567047,0.00486,23.1
adain_alpha_0.8,temp.jpg,img_1.jpg,style_7.png,8.790004,0.00070,31.6,14085619592.954607,0.00381,24.2
adain_alpha_0.8,temp.jpg,img_1.jpg,style_8.png,7.038909,0.00187,27.3,15423156728.582920,0.01440,18.4
adain_alpha_0.8,temp.jpg,img_1.jpg,style_9.png,4.427107,0.00040,34.0,1197188365.357342,0.00068,31.7
adain_alpha_0.8,temp.jpg,img_2.jpg,style_0.png,7.384349,0.00099,30.0,31215667845.689396,0.00392,24.1
adain_alpha_0.8,temp.jpg,img_2.jpg,style_1.png,5.136215,0.00093,30.3,13580307967.883545,0.00458,23.4
adain_alpha_0.8,temp.jpg,img_2.jpg,style_2.png,10.395761,0.00093,30.3,0.000000,0.00000,100.0
adain_alpha_0.8,temp.jpg,img_2.jpg,style_3.png,7.398720,0.00080,31.0,775805316.301251,0.00031,35.1
adain_alpha_0.8,temp.jpg,img_2.jpg,style_4.png,6.992882,0.00034,34.7,14939298285.718435,0.00460,23.4
adain_alpha_0.8,temp.jpg,img_2.jpg,style_5.png,4.738233,0.00047,33.3,11424688903.203499,0.00081,30.9
adain_alpha_0.8,temp.jpg,img_2.jpg,style_6.png,9.906937,0.00052,32.8,18379441084.529964,0.01353,18.7
adain_alpha_0.8,temp.jpg,img_2.jpg,style_7.png,6.335049,0.00086,30.6,0.000000,0.00000,100.0
adain_alpha_0.8,temp.jpg,img_2.jpg,style_8.png,9.357918,0.00223,26.5,13791503526.561998,0.00866,20.6
adain_alpha_0.8,temp.jpg,img_2.jpg,style_9.png,8.011969,0.00032,34.9,22211915393.825356,0.00038,34.2
adain_alpha_0.8,temp.jpg,img_3.jpg,style_0.png,9.120835,0.00305,25.2,5009664413.143303,0.00097,30.1
adain_alpha_0.8,temp.jpg,img_3.jpg,style_1.png,5.400611,0.00083,30.8,11176761500.003489,0.00315,25.0
adain_alpha_0.8,temp.jpg,img_3.jpg,style_2.png,10.890197,0.00132,28.8,14878372513.100155,0.00952,20.2
adain_alpha_0.8,temp.jpg,img_3.jpg,style_3.png,5.031327,0.00058,32.4,11764786177.569212,0.00057,32.4
adain_alpha_0.8,temp.jpg,img_3.jpg,style_4.png,6.768526,0.00098,30.1,25941302423.204960,0.01903,17.2
adain_alpha_0.8,temp.jpg,img_3.jpg,style_5.png,4.866142,0.00018,37.4,1068291475.705706,0.00056,32.5
adain_alpha_0.8,temp.jpg,img_3.jpg,style_6.png,9.914338,0.00069,31.6,3954956055.248813,0.00069,31.6
adain_alpha_0.8,temp.jpg,img_3.jpg,style_7.png,7.393527,0.00116,29.4,8506185915.411091,0.00140,28.5
adain_alpha_0.8,temp.jpg,img_3.jpg,style_8.png,6.969488,0.00150,28.2,2302930518.600115,0.00049,33.1
adain_alpha_0.8,temp.jpg,img_3.jpg,style_9.png,10.784786,0.00128,28.9,14447380401.387430,0.00275,25.6
adain_alpha_0.8,temp.jpg,img_4.jpg,style_0.png,11.074269,0.00153,28.2,18851609011.481174,0.00169,27.7
adain_alpha_0.8,temp.jpg,img_4.jpg,style_1.png,8.121108,0.00083,30.8,33516691073.310173,0.02550,15.9
adain_alpha_0.8,temp.jpg,img_4.jpg,style_2.png,5.557120,0.00026,35.9,31983048401.657104,0.00933,20.3
adain_alpha_0.8,temp.jpg,img_4.jpg,style_3.png,7.860929,0.00155,28.1,34066232264.884403,0.01915,17.2
adain_alpha_0.8,temp.jpg,img_4.jpg,style_4.png,7.892597,0.00088,30.5,10170930260.133966,0.00292,25.3
adain_alpha_0.8,temp.jpg,img_4.jpg,style_5.png,7.720273,0.00082,30.8,25487450543.372295,0.00349,24.6
adain_alpha_0.8,temp.jpg,img_4.jpg,style_6.png,3.585426,0.00062,32.1,13735507685.948111,0.01040,19.8
adain_alpha_0.8,temp.jpg,img_4.jpg,style_7.png,5.812725,0.00041,33.9,5147251131.054812,0.00430,23.7
adain_alpha_0.8,temp.jpg,img_4.jpg,style_8.png,8.033446,0.00106,29.7,10792255977.544691,0.00106,29.7
adain_alpha_0.8,temp.jpg,img_4.jpg,style_9.png,8.504060,0.00103,29.9,27928493362.341225,0.01308,18.8
adain_alpha_0.8,temp.jpg,img_5.jpg,style_0.png,7.722421,0.00079,31.0,19116263873.566563,0.01279,18.9
adain_alpha_0.8,temp.jpg,img_5.jpg,style_1.png,7.379983,0.00023,36.5,18545711890.802105,0.00082,30.9
adain_alpha_0.8,temp.jpg,img_5.jpg,style_2.png,6.685275,0.00158,28.0,9789699170.947863,0.00416,23.8
adain_alpha_0.8,temp.jpg,img_5.jpg,style_3.png,9.391948,0.00153,28.2,31139760625.539646,0.01404,18.5
adain_alpha_0.8,temp.jpg,img_5.jpg,style_4.png,1.778498,0.00034,34.6,12826596423.654230,0.00516,22.9
adain_alpha_0.8,temp.jpg,img_5.jpg,style_5.png,5.059506,0.00139,28.6,8292721101.887038,0.00788,21.0
adain_alpha_0.8,temp.jpg,img_5.jpg,style_6.png,12.742323,0.00250,26.0,0.000000,0.00000,100.0
adain_alpha_0.8,temp.jpg,img_5.jpg,style_7.png,14.101569,0.00190,27.2,0.000000,0.00000,100.0
